184457	Nangataret Kaakodiam	Nangataret Kaakodiam	Nangataret Kaakodiam	2.67658	34.78266	T	HLL	UG		N	88	229332	8630013	0		1088	Africa/Kampala	2016-12-20
188916	Loolimo	Loolimo	Loolimo	2.61798	34.83048	T	HLL	UG		N	88	229332	8630013	0		1071	Africa/Kampala	2016-12-20
189129	Lokwangamoru	Lokwangamoru	Lokwangamoru,Nakwanamoru	2.47999	34.92968	T	HLL	UG		N	88	229332	8630016	0		1302	Africa/Kampala	2016-12-20
206865	Nyarubara	Nyarubara		-1.33333	30.01667	P	PPL	UG		W	34	227915	8658084	0		1798	Africa/Kampala	2016-06-22
225792	Zulia Central Forest Reserve	Zulia Central Forest Reserve	Zulia Central Forest Reserve,Zulia Forest,Zulia Forest Reserve	4.04295	33.95802	L	RESF	UG		N	D1			0		1534	Africa/Kampala	2014-02-08
225793	Zulia	Zulia	Lothulia,Mount Zulia,Zulia	4.12831	33.98381	T	MT	UG		N	D1	233569	8658052	0	2147	2157	Africa/Kampala	2016-06-22
225794	Zowa	Zowa		3.05	30.91667	T	HLL	UG		N	77	234911	8658608	0		1198	Africa/Kampala	2016-06-22
225795	Zoroma Mission	Zoroma Mission		-0.83333	29.8	S	MSSN	UG		W	82	7732525	8657963	0		1617	Africa/Kampala	2016-06-22
225796	Zoroma	Zoroma		-0.83333	29.8	T	HLL	UG		W	82	7732525	8657963	0		1617	Africa/Kampala	2016-06-22
225797	Zombo	Zombo		2.51355	30.90909	P	PPLA2	UG		N	H7	227147	8658740	0		1609	Africa/Kampala	2016-06-22
225798	Zoka Forest	Zoka Forest	Zoka Forest	3.10234	31.66775	V	FRST	UG		N	65			0		951	Africa/Kampala	2019-02-21
225799	Zoka	Zoka	Zoha,Zoka	3.22789	31.57023	H	STM	UG		N	65			0		615	Africa/Kampala	2012-04-28
225800	Ziru Island	Ziru Island	Dziru,Zira Island,Ziru Island	-0.33333	32.43333	T	ISL	UG		C	36			0		1134	Africa/Kampala	2012-04-28
225801	Ziru Island	Ziru Island	Ziro,Ziru Island	-0.08694	33.21361	T	ISL	UG		C	F2			0		1134	Africa/Kampala	2012-04-28
225802	Ziru Island	Ziru Island	Ziru Island	0.0487	32.98252	T	ISL	UG		C	F2			0		1150	Africa/Kampala	2018-12-04
225803	Ziru	Ziru		0.14106	32.52202	P	PPL	UG		C	96	234053	8658010	0		1176	Africa/Kampala	2016-12-03
225804	Ziro Island	Ziro Island	Ziro Island	0.10367	33.49917	T	ISL	UG		C	F2			0		1146	Africa/Kampala	2016-10-08
225805	Zirobwe	Zirobwe		0.67944	32.68944	P	PPL	UG		C	70	8644157	8658490	0		1121	Africa/Kampala	2016-06-22
225806	Zirizi	Zirizi		-0.68333	31.7	T	HLL	UG		C	I3	8644144	8657681	0		1160	Africa/Kampala	2018-06-23
225807	Zirimiti Swamp	Zirimiti Swamp		0.26667	32.71667	H	MRSH	UG		C	90			0		1142	Africa/Kampala	2012-04-28
225808	Zirimiti	Zirimiti		0.25852	32.75515	H	STM	UG		C	90			0		1149	Africa/Kampala	2016-12-03
225809	Zira	Zira		0.44509	32.1608	P	PPL	UG		C	D8	8644152	8657879	0		1201	Africa/Kampala	2017-06-06
225810	Zintengeze	Zintengeze	Zintengese,Zintengeze	0.5	32.98333	P	PPL	UG		C	E7	7732075	8658079	0		1108	Africa/Kampala	2016-06-22
225811	Zingili	Zingili		2.46888	30.91623	H	STM	UG		N	H7			0		1524	Africa/Kampala	2012-04-28
225812	Zingele	Zingele		2.47681	31.03944	H	STM	UG		N	H7			0		1126	Africa/Kampala	2012-04-28
225813	Zinga Island	Zinga Island		0.00775	32.23989	T	ISL	UG		C	96			0		1160	Africa/Kampala	2017-06-06
225814	Zinga Bay	Zinga Bay		-0.00082	32.22623	H	BAY	UG		C	96			0		1134	Africa/Kampala	2017-06-06
225815	Zinga	Zinga		0.26667	30.38333	H	STM	UG		W	81			0		1185	Africa/Kampala	2012-04-28
225816	Zinat	Zinat	Zinat	3.01159	33.85166	T	HLL	UG		N	45	233117	8658055	0		1263	Africa/Kampala	2018-12-04
225817	Zina	Zina	Zina	0.25	30.9	T	HLL	UG		W	G2	230499	8658587	0		1231	Africa/Kampala	2019-02-21
225818	Zimwe	Zimwe		-0.51667	31.75	P	PPL	UG		C	G5	7910221	8657539	0		1202	Africa/Kampala	2016-06-22
225819	Zimwa	Zimwa		0.85	31.9	T	HLL	UG		C	42	8644178	8657784	0		1212	Africa/Kampala	2016-06-22
225820	Zimuddi	Zimuddi	Zimuddi,Zimudi	0.41667	32.31667	P	PPL	UG		C	96	234053	8657620	0		1170	Africa/Kampala	2017-06-06
225821	Zigwe Island	Zigwe Island	Zigwe Island	0.36667	31.96667	T	ISL	UG		C	D8			0		1162	Africa/Kampala	2018-12-04
225822	Zigu Point	Zigu Point		-0.3	32.56667	T	PT	UG		C	36	8644180	8658624	0		1134	Africa/Kampala	2016-06-22
