2243937	"Vallée de Mboun"	"Vallee de Mboun"	"Vallee de Maoure,Vallee de Mboul,Vallee de Mboun,Vallee de Mboune,Vallee de Mboung,Vallee de Naoude,Vallee de Naoure,Vallee de Sine,Vallée de Maoure,Vallée de Mboul,Vallée de Mboun,Vallée de Mboune,Vallée de Mboung,Vallée de Naoudé,Vallée de Naouré,Vallée de Siné"	14.95	-14.26667	"H"	"WAD"	"SN"	"SN"	0				0		52	"Africa/Dakar"	"2012-01-17"
2243938	"Vallée du Loumbol"	"Vallee du Loumbol"	"Vallee du Loumbel,Vallee du Loumbol,Vallée du Loumbel,Vallée du Loumbol"	15.4	-13.93333	"H"	"WAD"	"SN"		15				0		67	"Africa/Dakar"	"2012-01-17"
2243939	"Ziguinchor"	"Ziguinchor"	"Basse Casamance,Diiwaanu Siggcoor,Regio de Ziguinchor,Region Ziguinchor,Region de Ziguinchor,Regione di Ziguinchor,Regió de Ziguinchor,Región de Ziguinchor,Rexion de Ziguinchor,Rexión de Ziguinchor,Région de Ziguinchor,Ziginshor,Ziginsoro regionas,Ziginšoro regionas,Ziguinchor,Ziguinchor Region,Ziguinchor eskualdea,ji jin shao er qu,jiganshoru zhou,jiginsyoleu ju,zynghshwr,Зигиншор,زينغشور,ジガンショール州,济金绍尔区,지긴쇼르 주"	12.8	-16.36667	"A"	"ADM1"	"SN"		12				523840		19	"Africa/Dakar"	"2016-05-08"
2243940	"Ziguinchor"	"Ziguinchor"	"ZIG,Zighinkor,Zigincor,Ziginshor,Ziginsor,Ziginsoras,Ziginĉor,Ziginšor,Ziginšoras,Zigiunchor,Ziguinchor,Zinguinhor,ji jin shao er,jiganshoru,jiginsyoleu,zygynchwr,Зигиншор,زیگینچور,ジガンショール,济金绍尔,지긴쇼르"	12.56801	-16.27326	"P"	"PPLA"	"SN"		12				159778		19	"Africa/Dakar"	"2016-12-03"
2243941	"Ziguinchor"	"Ziguinchor"		12.58333	-16.26667	"H"	"AIRS"	"SN"		12				0		9	"Africa/Dakar"	"1994-01-06"
2243942	"Ziguinchor Airport"	"Ziguinchor Airport"	"GOGG,ZIG,Ziguinchor Airport"	12.55569	-16.28268	"S"	"AIRP"	"SN"		12				0		24	"Africa/Dakar"	"2016-01-23"
2243943	"Ziguinchor"	"Ziguinchor"	"Departement de Ziguinchor,Département de Ziguinchor,Ziguinchor"	12.52201	-16.21621	"A"	"ADM2"	"SN"		12	2243943			0		23	"Africa/Dakar"	"2019-01-08"
2243944	"Yoye"	"Yoye"		15.2	-16.3	"P"	"PPL"	"SN"		7				0		36	"Africa/Dakar"	"1994-01-06"
2243945	"Youtou"	"Youtou"		12.37972	-16.48861	"P"	"PPL"	"SN"		12				0		14	"Africa/Dakar"	"2000-05-25"
2243946	"Youpé Paté"	"Youpe Pate"	"Yoube-Pate,Youbé-Paté,Youpe Pate,Youpé Paté"	14.33446	-12.39846	"P"	"PPL"	"SN"		5				0		71	"Africa/Dakar"	"2012-01-17"
