	region	country_code
0	Vallee de Mboun	SN
1	Vallee du Loumbol	SN
2	Ziguinchor	SN
3	Ziguinchor	SN
4	Ziguinchor	SN
5	Ziguinchor Airport	SN
6	Ziguinchor	SN
7	Yoye	SN
8	Youtou	SN
9	Youpe Pate	SN
10	Youpe Amadi	SN
11	Yougoure Keur Morbeye	SN
12	Yougoure Diolofene	SN
13	Youboubou	SN
14	Yoro Sankoule	SN
15	Yoro Sadio	SN
16	Yoro Peul	SN
17	Yoroka	SN
18	Yorodondekounda	SN
19	Yoro	SN
20	Reserve Sylvo-Pastorale de Yonofere	SN
21	Yonofere	SN
22	Yongo	SN
23	Yongo	SN
24	Yoman	SN
25	Yolma	SN
26	Yoli Dialol	SN
27	Yoli	SN
28	Yoli	SN
29	Yoli	SN
30	Yoli	SN
31	Yokoulene	SN
32	Yokoul	SN
33	Yogossouna	SN
34	Ile de Yoff	SN
35	Baie de Yof	SN
36	Yoff	SN
37	Yof	SN
38	Yodi	SN
39	Yilo	SN
40	Yeumbeul	SN
41	Yet	SN
42	Yerwaye	SN
43	Yervago	SN
44	Yerou	SN
45	Yerongueto	SN
46	Yerodoye	SN
47	Yero	SN
48	Yerma	SN
49	Yeri Male Torobe	SN
50	Yeri Male Foulabe	SN
51	Yeral	SN
52	Yera Dioula	SN
53	Yea	SN
54	Yene Tode	SN
55	Yenima	SN
56	Yene Kaw	SN
57	Yendounane	SN
58	Yendam	SN
59	Yemgueke	SN
60	Yembakana	SN
61	Yelingara	SN
62	Yelimalo	SN
63	Yele	SN
64	Yedi	SN
65	Yede	SN
66	Yayene	SN
67	Yayem	SN
68	Yaye	SN
69	Yaya To	SN
70	Yayakounda	SN
71	Yaya	SN
72	Yavorodji	SN
73	Yavene	SN
74	Yati Rhaye	SN
75	Yassine Mandina	SN
76	Yassine Lake	SN
77	Foret Classee de Yassine	SN
78	Yassine	SN
79	Yassi	SN
80	Yassagne	SN
81	Yarimalo	SN
82	Yari Gouye	SN
83	Yari Dakhar	SN
84	Yargouye	SN
85	Yare Lao	SN
86	Yare	SN
87	Yar Dakar	SN
88	Yaran	SN
89	Yapal	SN
90	Yaouara	SN
91	Yaouara	SN
92	Yaoualde Sinntiou	SN
93	Tiangol Yaoualde	SN
94	Yaoualde	SN
95	Yang Yang	SN
96	Tiangol Yane Merou	SN
97	Yamoussa	SN
98	Yambasansa	SN
99	Yamatoyene	SN
100	Yamane Sek	SN
101	Yamane	SN
102	Yamane	SN
103	Yamane	SN
104	Yamana	SN
105	Yamal	SN
106	Diolol Yalalbe	SN
107	Yal	SN
108	Yak Sao	SN
109	Yake Yak	SN
110	Yagoubel	SN
111	Yagne	SN
112	Yafera	SN
113	Yafa Rouba	SN
114	Yadou Laye	SN
115	Yadiourou	SN
116	Yade	SN
117	Yade Peul	SN
118	Yaboyabo	SN
119	Yatbil Diop	SN
120	Yabone	SN
121	Gue de Wouroli	SN
122	Wore	SN
123	Wore	SN
124	Wongourou	SN
125	Woloto	SN
126	Wondio	SN
127	Weni	SN
128	Weneri	SN
129	Wassadougou	SN
130	Wassadou	SN
131	Wassadou	SN
132	Wassadou	SN
133	Wakhal	SN
134	Warbe	SN
135	Waoumane	SN
136	Wandoulou	SN
137	Wambo Mare	SN
138	Wamba	SN
139	Wali Diala	SN
140	Walidiala	SN
141	Wallan Kindi	SN
142	Wak-Ngouna	SN
143	Wakelibougou	SN
